title,content,publishedAt
DOJ subpoenas NVIDIA as part of antitrust probe regarding AI processors,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-04T15:34:35Z
The Leaked Nvidia RTX 5090 Has So Many Cores It Actually Scares Me,The GeForce RTX 4090 is already so big that any PC builder worth their salt knows that you’ll need specialized brackets just to keep it from falling and dismantling your computer. The anticipated RTX… [+3131 chars],2024-09-27T13:35:22Z
ByteDance will reportedly use Huawei chips to train a new AI model,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-30T15:48:46Z
Nvidia might actually lose in this key part of the AI chip business,"Justin Sullivan/Getty
<ul><li>Inference made up 40% of Nvidia's $26.3 billion Q2 data center revenue.</li><li>Inference computing demand will increase as AI matures.</li><li>Companies like Groq and … [+4334 chars]",2024-09-01T13:00:02Z
This chart shows one potential advantage AWS's AI chips have over Microsoft and Google,"Noah Berger/Getty Images
<ul><li>Big tech cloud providers are developing homegrown AI chips to rival Nvidia.</li><li>Amazon, Google, and Microsoft have AI chips, but AWS's offerings have wider avail… [+3550 chars]",2024-09-26T09:00:02Z
Nvidia's days of absolute dominance in AI could be numbered because of this key performance benchmark,"Rodrigo Liang, CEO and co-founder of SambaNova SystemsSambaNova Systems
<ul><li>Nvidia faces competition in AI inference from startups like SambaNova, Groq, and Cerebras.</li><li>Inference, the prod… [+6555 chars]",2024-09-26T09:00:02Z
Nvidia Hit With DOJ Subpoena In Escalating Antitrust Probe,"According to Bloomberg(paywalled), Nvidia has received a subpoena from the U.S. Department of Justice as the regulator seeks evidence that the AI computing company violated antitrust laws. ""The antit… [+615 chars]",2024-09-03T21:20:00Z
The cult of Nvidia is getting really weird,"Everyone could probably stand to chill about Nvidia.Getty Images; Jenny Chang-Rodriguez/BI
I probably do not have to tell you that Nvidia has really blown up over the past few years. The tech compan… [+11652 chars]",2024-09-09T09:43:02Z
"Xavier Niel, a Driving Force of French AI, Is Now Shaping TikTok","If Europe wants to compete with Asia and the US on AI, he believes the continent has to act now. If you want to create a search engine now from scratch, you cannot win because you were not there 25 y… [+3633 chars]",2024-09-20T10:53:37Z
Justice Department takes a major step toward an antitrust lawsuit against Nvidia,"Nvidia is based in Santa Clara, California.Justin Sullivan/Getty Images
<ul><li>The DOJ subpoenaed Nvidia in its antitrust probe into the chipmaker.</li><li>Officials are investigating whether Nvidi… [+958 chars]",2024-09-03T21:10:26Z
Jensen Huang thinks we're all going to have our own R2-D2 or C-3PO robots follow us around,"Jensen Huang sees the next wave of AI as being physical. JOSH EDELSON/Getty Images
<ul><li>Nvidia CEO Jensen Huang predicts a future with personal robots like R2-D2 and C-3PO from Star Wars.</li><li… [+2218 chars]",2024-09-19T12:50:45Z
Nvidia's Jensen Huang just crashed out of the $100 billion club after his net worth plunged by almost $10 billion,"Nvidia CEO Jensen Huang is no longer a member of a very exclusive club.Sam Yeh/AFP/Getty Images
<ul><li>Nvidia's Jensen Huang fell out of the $100 billion club on Tuesday.</li><li>The chipmaker's st… [+2151 chars]",2024-09-04T11:00:25Z
We're about to find out if Jensen Huang can get investors to snap out of their AI panic,Nvidia CEO Jensen Huang is set to speak at a Goldman Sachs conference at a time when investors are growing uncertain over AI hype.Noah Berger/Getty Images; Jenny Chang-Rodriguez/BI; Chelsea Jia Feng/… [+4047 chars],2024-09-11T12:53:54Z
Larry Ellison says he and Elon Musk 'begged' Jensen Huang for GPUs over dinner,"Larry Ellison and Elon Musk.Getty Images
<ul><li>Larry Ellison said he and Elon Musk begged Nvidia's Jensen Huang for more GPUs at a dinner.</li><li>Ellison made the comment during Oracle's earnings… [+1994 chars]",2024-09-16T10:04:05Z
"After Jensen Huang's Nvidia wipeout, no one has gained more wealth than Mark Zuckerberg in 2024 — becoming $54 billion richer","Meta CEO Mark Zuckerberg (left) and Nvidia CEO Jensen Huang (right).STR/JIJI Press/AFP via Getty Images; Josh Edelson/AFP via Getty Images
<ul><li>Mark Zuckerberg's fortune has ballooned by $54 bill… [+2004 chars]",2024-09-05T11:56:25Z
Nvidia just recorded the biggest single-day wipeout by a US company,"Nvidia's stock fell 9.5% due to concerns about AI and the US economy.Michael M. Santiago/Getty; Jenny Chang-Rodriguez/BI
<ul><li>Nvidia's stock fell 9.5% due to concerns about AI and the US economy.… [+2930 chars]",2024-09-04T05:00:29Z
"Investors should worry that almost half of Nvidia's revenue in the second quarter came from just 4 customers, according to a tech analyst","Nvidia CEO Jensen Huang's company has four customers that account for nearly have of its revenue.I-HWA CHENG/AFP via Getty Images
<ul><li>Almost half of Nvidia's $30 billion revenue in the second qu… [+5402 chars]",2024-09-05T05:21:34Z
Sony’s new OLED gaming monitor is one of the fastest you can buy,"Sonys new OLED gaming monitor is one of the fastest you can buy
Sonys new OLED gaming monitor is one of the fastest you can buy
 / The new flagship 27-inch InZone M10S features variable refresh rat… [+2322 chars]",2024-09-24T16:00:42Z
EXCLUSIVE: Sen. Elizabeth Warren backs DOJ investigation into Nvidia antitrust allegations,"US Sen. Elizabeth Warren is warning that Nvidia, led by CEO Jensen Huang, has too much dominance in the chipmaking market.REUTERS/Andrew Kelly; SAM YEH/AFP via Getty Images
<ul><li>Sen. Elizabeth Wa… [+2888 chars]",2024-09-06T12:15:02Z
What Nvidia leadership should be doing to prepare for a possible DOJ case,"Jensen Huang is the CEO of Nvidia. Noah Berger/Getty Images; Jenny Chang-Rodriguez/BI; Chelsea Jia Feng/BI
<ul><li>The Department of Justice is looking into Nvidia as part of an antitrust probe. </l… [+4875 chars]",2024-09-05T18:40:30Z
Nvidia Takes an Added Role Amid AI Craze: Data-Center Designer,"Chief Executive Jensen Huang is increasingly broadening his company's focus -- and seeking to widen its advantage over competitors -- by offering software, data-center design services and networking … [+2078 chars]",2024-09-03T14:40:00Z
Why countries are in a race to build AI factories in the name of sovereign AI,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Now that AI has become a fundamentally important technology, and the wo… [+19185 chars]",2024-09-26T16:00:00Z
AI chipmaker giant NVIDIA stock takes a historic $279 billion plunge,"NVIDIA shares have tanked almost 10% in the biggest single-day market value loss in U.S. history, spurring a massive sell off in large-cap tech stocks.
The company is widely known for making graphic… [+1094 chars]",2024-09-04T15:48:47Z
"Nvidia chips are in such high demand that customers are 'emotional,' Huang said","Nvidia CEO Jensen Huang says product shortages are making customers emotional.Sam Yeh/AFP via Getty Images
<ul><li>Nvidia CEO Jensen Huang says product shortages are making customers emotional.</li>… [+2752 chars]",2024-09-12T03:42:32Z
Nvidia CEO Jensen Huang tells David Solomon companies get things done 20 times faster with generative AI,"An analyst says Nvidia is leading the AI revolution in what appears to be a ""1995 moment.""Vincent Thian/AP
<ul><li>Nvidia CEO Jensen Huang discussed AI infrastructure ROI with Goldman Sachs CEO Davi… [+3097 chars]",2024-09-11T18:47:25Z
Chip companies like Nvidia and Intel are facing a major gender gap amid the AI boom,"A woman works at a semiconductor plant in Yangxin county in east China's Shandong province.Feature China/Getty Images
<ul><li>Less than one-third of the semiconductor workforce is female, with few i… [+8308 chars]",2024-09-02T09:00:02Z
Nvidia is in vogue — just ask the designer behind these viral GPU purses,"Tessa Barton started creating GPU purses last year.Tessa Barton
<ul><li>Nvidia's stock has surged due to the AI boom, making it a multi-trillion-dollar company.</li><li>The company and its CEO, Jens… [+3132 chars]",2024-09-17T09:09:28Z
"As FTC Chair Lina Khan’s Term Expires, Democrats Are Torn Between Donors and Their Base","For months, speculation has raged in Washington over the future of Lina Khan, the Federal Trade Commission chair and face of the Biden administrations crusade against monopoly power. Overturning deca… [+3239 chars]",2024-09-27T11:30:00Z
"Top Analyst Reports for NVIDIA, American Express & Wells Fargo","If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-27T20:12:00Z
"Musk's xAI Supercomputer Goes Online With 100,000 Nvidia GPUs","If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-03T14:58:33Z
Jim Cramer on NVIDIA Corporation (NASDAQ:NVDA): “A $10 Trillion Stock”,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-29T01:57:29Z
Not everyone is impressed by Elon Musk's shiny new AI supercomputer,"Elon Musk unveiled a new supercomputer that runs on 100,000 Nvidia GPUs. Not everyone's impressed.Richard Bord/Getty
<ul><li>Elon Musk's xAI has a new AI supercomputer that runs on a whopping 100,00… [+3634 chars]",2024-09-09T01:07:09Z
"NVIDIA Wipes Out $400B in Value: Buy, Hold, or Sell NVDA Stock?",NVIDIA Corporation NVDA witnessed a meteoric rise over the past few years due to the advent of artificial intelligence (AI). Its recent share repurchase has installed confidence among investors and t… [+5279 chars],2024-09-09T18:45:00Z
BofA’s Hartnett says US semiconductor stocks to plunge if payrolls are soft,"(Bloomberg) -- Semiconductor shares including Nvidia Corp. are in for a rough ride if US jobs data Friday point to a hard landing for the words biggest economy, according to strategists at Bank of Am… [+1785 chars]",2024-09-06T10:09:29Z
Acer Sells Women Short With Its Budget Nitro V 14 Gaming Laptop,"Did you know that 50% of gamers are women? But they’re not just any gamers; they’re casual gamers. As such, Acer thinks they deserve a laptop just for themor so they informed us during their IFA pres… [+2028 chars]",2024-09-05T11:15:12Z
Hacking an NVIDIA CMP 170HX Crypto GPU for EM Sim Work,"A few years back NVIDIA created a dedicated cryptocurrency mining GPU, the CMP 170HX. This was a heavily restricted version of its flagship A100 datacenter accelerator, using the same GA100 chip. It … [+2354 chars]",2024-09-11T23:00:00Z
Mark Zuckerberg Says He's Done Apologizing,"The home of the Golden State Warriors was packed on Tuesday evening this week, but it wasn't to watch Steph Curry. Thousands of fans gathered at the Chase Center in downtown San Francisco to watch on… [+2133 chars]",2024-09-11T22:40:00Z
"The UK could be home to ‘quantum Nvidia’, says algorithm startup",The governmental deep tech funding landscape in the UK has been in a bit of a turmoil over the past few months. Funds have been promised by one government and then whisked away by another in the spac… [+3655 chars],2024-09-09T23:01:07Z
Jensen Huang,"The leather-jacketed CEO of Nvidia has long been seen as something of a tech rockstar. But it was presumably a first even for Jensen Huang when, at a tech expo in Taipei in June, a woman asked him to… [+1549 chars]",2024-09-05T11:23:09Z
NVIDIA Corporation (NVDA) a Good Big Tech Stock to Buy Now?,"We recently compiled a list of the 13 Best Big Tech Stocks To Buy Now. In this article, we are going to take a look at where NVIDIA Corporation (NASDAQ:NVDA) stands against the other big tech stocks.… [+5323 chars]",2024-09-16T21:14:15Z
"Blitzy, a Boston startup automating coding, just raised $4.4 million using this 10-slide pitch deck","Blitzy cofounders Brian Elliott and Sid Pardeshi.Blitzy
<ul><li>Startup Blitzy has raised $4.4 million to build its team in Boston.</li><li>A former Nvidia engineer cofounded Blitzy to automate cust… [+1767 chars]",2024-09-03T13:01:02Z
Nvidia is reportedly sunsetting the RTX 4090,"The RTX 4090 is undoubtedly the best graphics card you can buy right now from a performance standpoint, but Nvidia is reportedly discontinuing the flagship GPU. Reports from the Board Channel forums … [+2041 chars]",2024-09-17T15:59:56Z
NVIDIA Founder Jensen Huang to Receive Lifetime Achievement Award at Engineering Emmys,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-03T13:00:00Z
NVIDIA (NVDA) CEO Jensen Huang Points to $1 Trillion Opportunity for the Company,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-16T16:07:28Z
Best Buy Is Selling This 4.6-Star-Rated 4K Big Screen TV for Half Price — If You Hurry,"If you’re looking at your TV and you’re thinking “too small,” “too old,” or you’re just feeling like you need an upgrade, Best Buy has a great deal for you. They’ve slashed the price on the highly ra… [+2312 chars]",2024-09-19T14:05:45Z
OpenAI Fundraising Set To Vault Startup's Valuation To $150 Billion,"The new valuation, a figure that doesn't include the money being raised, is significantly higher than the $86 billion valuation from the company's tender offer earlier this year, and cements its plac… [+539 chars]",2024-09-12T05:50:00Z
Meet the 10 biggest wealth gainers this year — who've added a combined $360 billion to their fortunes in 2024,"Jim Walton, Alice Walton, and Rob Walton.REUTERS/Rick Wilking
<ul><li>The 10 biggest wealth gainers have added a collective $360 billion in net worth so far in 2024.</li><li>Nvidia's Jensen Huang, M… [+5508 chars]",2024-09-14T09:50:02Z
Show HN: Tune LLaMa3.1 on Google Cloud TPUs,Felafax is a framework for continued-training and fine-tuning open source LLMs using XLA runtime. We take care of neceessary runtime setup and provide a Jupyter notebook out-of-box to just get starte… [+2578 chars],2024-09-11T15:14:44Z
Nvidia RTX 50-series GPUs: everything we know so far,"Jacob Roach / Digital Trends
Nvidia already makes some of the best graphics cards, but it’s also not resting on its laurels. Although the RTX 40-series, which has been bolstered by a refresh, is sti… [+25636 chars]",2024-09-06T15:35:44Z
"Exclusive-Data center operator Switch weighs IPO at about $40 billion valuation, sources say","By Echo Wang and David French
NEW YORK (Reuters) - The owners of Switch are exploring an initial public offering (IPO) of the data center operator that could value it at about $40 billion, including… [+2346 chars]",2024-09-10T13:04:57Z
1 Solid AI Stock That's Not Nvidia or Palantir to Focus On in the Next Few Years,"Artificial intelligence (AI) is probably one of the biggest trends that will change our daily lives in the coming decades. While AI is still in its early development stage, companies like Nvidia and … [+5665 chars]",2024-09-19T11:15:00Z
"Move Over, Nvidia: Billionaires Are Selling Its Shares and Buying Up These 2 Artificial Intelligence (AI) Stocks Instead","Wall Street has fallen in love with the artificial intelligence (AI) trend. This is not surprising, considering that PwC analysts expect AI to add nearly $15.7 trillion to the global economy annually… [+7436 chars]",2024-09-21T08:33:00Z
Here’s How Much Money You Missed Out on If You Didn’t Buy 100 Shares of Nvidia This Year,"If you click 'Accept all', we and our partners, including 239 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-21T18:01:09Z
This Alienware gaming laptop with RTX 4080 is $500 off,"Dell
The popular and powerful Alienware m18 R2 gaming laptop with the Nvidia GeForce RTX 4080 graphics card, which usually sells for $3,100, is available for a discounted price of $2,600. There’s no… [+1853 chars]",2024-09-13T23:00:52Z
"To make the most of NVIDIA RTX AI PCs, opt for GIGABYTE’s latest laptops","You may or may not already know this, but NVIDIA’s latest GPUs, the NVIDIA GeForce RTX 40 Series, are built to enhance compatibility and performance in the era of AI. More specifically, NVIDIA’s indu… [+5355 chars]",2024-09-24T14:33:52Z
Microsoft and Abu Dhabi's MGX To Back $30 Billion BlackRock AI Infrastructure,An anonymous reader quotes a report from Data Center Dynamics: BlackRock plans to launch a new $30 billion artificial intelligence (AI) investment fund focused on data centers and energy projects. Mi… [+1499 chars],2024-09-19T00:02:00Z
AMD's latest updates address 9000X desktop CPU performance issues,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-30T13:00:38Z
Apple no longer in talks to invest in OpenAI: report,"Apple is no longer involved in talks to invest in OpenAI's next funding round, which could value OpenAI at $150 billion, The Wall Street Journal reported.Budrul Chukrut/SOPA Images/LightRocket via Ge… [+1195 chars]",2024-09-28T02:31:36Z
America is ready to go big on AI infrastructure,"Satya Nadella's Microsoft and BlackRock have unveiled a $30 billion fund to boost investment into data centers and power infrastructure needed to support AI.Microsoft
<ul><li>America is ready to sca… [+4621 chars]",2024-09-18T16:02:09Z
Fox News AI Newsletter: AI version of dead actor,"Welcome to Fox News Artificial Intelligence newsletter with the latest AI technology advancements.
IN TODAYS NEWSLETTER:
- Alien: Romulus director defends AI version of dead actors likeness after f… [+1313 chars]",2024-09-07T12:30:27Z
This Alienware gaming laptop with RTX 4090 is $700 off for Labor Day,"Dell
Every dollar saved counts when you’re buying a premium gaming laptop, so you don’t want to miss this opportunity at a $700 discount for the Alienware m18 R2 from the Labor Day sales of Dell. Th… [+1897 chars]",2024-09-02T22:00:20Z
Legendary Mario creator on AI: Nintendo is “going the opposite direction”,"Artist's conception of Miyamoto preparing to fend off investors eager for more generative AI integration.
1
In the last few years, large swaths of the game industry have embraced generative AI, bot… [+2186 chars]",2024-09-26T15:01:42Z
OpenAI Co-Founder Raises $1 Billion For New Safety-Focused AI Startup,"Sutskever, 37, is one of the most influential technologists in AI. He co-founded SSI in June with Gross, who previously led AI initiatives at Apple, and Daniel Levy, a former OpenAI researcher. Sutsk… [+1661 chars]",2024-09-05T00:50:00Z
"Wait, what? Nvidia’s RTX 50-series might launch this month",Nvidia’s RTX 50-series graphics cards are coming — we know that for a fact. But when? The release dates of these graphics cards have been the topic of much speculation. Early leakers predicted that t… [+2159 chars],2024-09-05T17:33:56Z
The RTX 5090 will reportedly require 600W of power,"Rumors have been circulating about the RTX 5090 for a while, but we’re finally getting a clearer picture of how Nvidia’s flagship RTX 50-series GPU is shaping up. Well-known hardware leaker Kopite7ki… [+2263 chars]",2024-09-26T19:00:33Z
Get ready for a tumultuous era of GPU cost volitivity,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
Graphics chips, or GPUs, are the engines of the AI revolution, powering… [+6016 chars]",2024-09-07T19:05:00Z
Why all eyes are on Intel now,"Intel.Intel; Getty Images; Chelsea Jia Feng/BI
<ul><li>Former chip design leader Intel struggles due to missed AI opportunities and manufacturing delays.</li><li>Qualcomm reportedly approached Intel… [+7040 chars]",2024-09-24T08:00:02Z
Intel and Qualcomm: This 'odd' couple won't solve America's chipmaking woes,"Intel CEO Pat Gelsinger (left) and Qualcomm CEO Cristiano Amon (right)Getty Images
<ul><li>There's a chip manufacturing miasma hanging over Intel and the US.</li><li>Qualcomm is reportedly intereste… [+8496 chars]",2024-09-21T01:32:58Z
"How to Pronounce Nvidia, Huawei, Bezos and Other Tech Terms","At the risk of relitigating the long-running debate on whether web graphic term GIF should be pronounced ""Jif"" or ""Gif"" (with a hard G), we will say that more than 99% of the time, there's a correct … [+3871 chars]",2024-09-27T12:00:13Z
This unofficial Nvidia GPU piggy bank lets you save up for a real one,"Key Takeaways
<ul><li> An unofficial Nvidia GPU piggy bank shaped like an RTX 3080 is available for purchase for $22. </li><li> The 3D-printed piggy bank is a realistic replica, complete with correc… [+1564 chars]",2024-09-21T20:58:31Z
This Alienware gaming PC with one of our favorite GPUs is $400 off today,"Jacob Roach / Digital Trends
Dell continues to offer some great gaming PC deals even now that Labor Day is behind us. One such deal is being able to buy the Alienware Aurora R16 gaming desktop for $… [+1961 chars]",2024-09-04T21:30:06Z
Qualcomm has good reasons to bid for Intel — but a takeover probably won't happen,"Intel has received a takeover bid from Qualcomm at a time when the storied chip giant has been struggling.Getty Images
<ul><li>One of Silicon Valley's most storied companies has just become an acqui… [+5636 chars]",2024-09-23T15:32:56Z
"Intel Plans To Turn Foundry Business Into Subsidiary, Allow For Outside Funding","As part of CEO Pat Gelsinger's effort to turn around the struggling chipmaker, Intel said in a memo to employees that it will also sell off part of its stake in Altera. Gelsinger said the restructuri… [+2330 chars]",2024-09-17T00:45:00Z
The Week in Numbers: a shot of stimulus,"STORY: From how China gave markets a boost, to why Boeing workers weren't backing down, this is the Week in Numbers.
Close to 16% was the gain for Chinas blue-chip stocks index this week - marking i… [+1224 chars]",2024-09-27T10:06:55Z
Oracle's Larry Ellison is now the world's 4th-richest person after a $57 billion wealth surge this year,"Larry Ellison also owns a stake in Tesla worth about $10 billion.Justin Sullivan/Getty Images
<ul><li>Larry Ellison surged past LVMH chief Bernard Arnault to become the world's fourth-richest person… [+2190 chars]",2024-09-17T10:22:32Z
It took Larry Ellison just a single day to make enough money to buy Paramount,"Larry Ellison, left, is one of the world's richest men. That means it's easy for him to finance the purchase of Paramount for his son, David, right.Clive Brunskill/Getty Images
<ul><li>Oracle stock … [+2418 chars]",2024-09-17T14:11:30Z
The first Intel Battlemage GPU benchmarks have leaked,"A new Intel discrete GPU has surfaced on Geekbench, giving us an early look at the potential specifications. This leaked listing also marks the first Battlemage GPU to surface on a benchmarking platf… [+2352 chars]",2024-09-26T19:22:15Z
CuPy: NumPy and SciPy for GPU,"Website
| Install
| Tutorial
| Examples
| Documentation
| API Reference
| Forum
CuPy is a NumPy/SciPy-compatible array library for GPU-accelerated computing with Python.
CuPy acts as a drop-i… [+3156 chars]",2024-09-20T13:18:06Z
Huawei guns for Nvidia market share in China — Ascend 910C GPU customer sampling begins,"If you click 'Accept all', we and our partners, including 240 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-09-29T14:45:18Z
Learn GPU Programming With Simple Puzzles,"Have you wanted to get into GPU programming with CUDA but found the usual textbooks and guides a bit too intense? Well, help is at hand in the form of a series of increasingly difficult programming ‘… [+1265 chars]",2024-09-25T08:00:00Z
A Once-in-a-Decade Investment Opportunity: 1 Artificial Intelligence (AI) Semiconductor Stock to Buy Hand Over Fist Right Now (Hint: It's Not Nvidia),"One of the biggest opportunities among artificial intelligence (AI) investments is semiconductor stocks. Of course, some obvious opportunities include such powerhouses as Nvidia and Advanced Micro De… [+6332 chars]",2024-09-19T12:30:00Z
"Apple not investing in OpenAI after all, new report says","Apple is no longer planning to invest in OpenAI, according to a new report from The Wall Street Journal. This comes as OpenAI plans to close a $6.5 billion funding round next week, with investments p… [+1527 chars]",2024-09-28T01:59:23Z
Apple and Microsoft battle for the #1 market cap crown as NVIDIA suffers the biggest single day drop in HISTORY,"What you need to know
<ul><li>NVIDIA is a global tech company renowned for industry-leading graphics processing units, powering everything from home gaming to massive cloud server arrays. </li><li>N… [+4572 chars]",2024-09-04T12:04:09Z
"Elon Musk's xAI developed Colossus in just 122 days — ""The most powerful AI training system in the world"" powered by 100K NVIDIA H100 GPUs could that make Grok 'the most powerful AI by every metric'","What you need to know
<ul><li>Elon Musk's xAI team launched Colossus, powered by 100,000 NVIDIA H100 GPUs.</li><li>The company plans to double the system's capacity with an additional 50,000 NVIDIA … [+3094 chars]",2024-09-05T10:21:23Z
"Investors claim OpenAI is 'uniquely' positioned to become the world's dominant AI company worth trillions of dollars ahead of Microsoft and Apple: ""There has never been a company that has both a dominant enterprise and consumer position early on""","What you need to know
<ul><li>Despite recent bankruptcy claims, investors are betting on OpenAI to become the world's most valuable company worth trillions of dollars ahead of Microsoft, NVIDIA, and… [+5946 chars]",2024-09-20T15:43:27Z
What you need to know about AI PCs and how to choose one,"There has been a surge in AI applications that can do everything from generating images, editing video, enhancing games, and summarizing data, and while many AI tools are available through the cloud,… [+4136 chars]",2024-09-10T13:47:30Z
"Zen, CUDA, and Tensor Cores, Part I: The Silicon",This is part 1 of a miniseries on todays common consumer computing cores. It contains investigations into undisclosed hardware details. I have tried to validate the accuracy of the series by consulti… [+22410 chars],2024-09-03T19:34:32Z
Hetzner introduces GPU server for AI training,"Discover the next level of performance with the new GEX130 dedicated GPU server. Equipped with the NVIDIA RTX 6000 Ada generation graphics card, it can put ideas into practice even faster and highly … [+455 chars]",2024-09-25T11:35:44Z
"NVIDIA RTX 5080 and 5090 specs seemingly leak, revealing massive power requirements","What you need to know
<ul><li>The specs for NVIDIA's upcoming and unrevealed RTX 5080 and 5090 cards have possibly leaked. </li><li>The leak comes via @kopite7kimi on X (Twitter), who has a reliable… [+2518 chars]",2024-09-26T22:22:38Z
MSI teases a STALKER 2-themed NVIDIA RTX graphics card ahead of the game's launch,"What you need to know
<ul><li>MSI is teasing a new graphics card themed after STALKER 2. </li><li>There's no date, but the teaser indicates that more details are coming soon.</li><li>After multiple … [+1651 chars]",2024-09-26T19:25:46Z
SambaNova challenges OpenAI’s o1 model with Llama 3.1-powered demo on HuggingFace,"Join our daily and weekly newsletters for the latest updates and exclusive content on industry-leading AI coverage. Learn More
SambaNova Systems has just unveiled a new demo on Hugging Face, offerin… [+6035 chars]",2024-09-16T22:48:08Z
How to fix Nvidia GeForce Experience 'driver download failed' error on Windows?,"If you have a gaming PC, updating drivers is important for maintaining PC health and performance. Making sure that your PC is always updated can also spare you from the need to troubleshoot unnecessa… [+6068 chars]",2024-09-05T10:00:13Z
How I turned OBS into a ShadowPlay replacement,"If you have an Nvidia graphics card, you've probably heard of ShadowPlay. It's a feature that you can enable so that when you press a key bind, it saves the last X amount of minutes to a folder on yo… [+2667 chars]",2024-09-16T11:00:13Z
"The viral ‘GPU purse’ costs $1,024 — but you can make your own for $40","GPU Purse
I never thought the best graphics cards would become a fashion statement, much less some of the worst, but here we are. Over the weekend, a website called GPU Purse went live with a listin… [+2364 chars]",2024-09-09T14:32:12Z
"Billionaires Warren Buffett, David Tepper, and Terry Smith Are Sending a Very Clear Warning to Wall Street -- Are You Paying Attention?","For the better part of two years, the bulls have been firmly in control on Wall Street. A resilient U.S. economy, coupled with excitement surrounding the rise of artificial intelligence (AI), have he… [+7644 chars]",2024-09-21T09:06:00Z
OpenAI allegedly wants TSMC 1.6nm for in-house AI chip debut,"OpenAI's first custom-designed silicon chips allegedly will be manufactured by Taiwan Semiconductor Manufacturing Company (TSMC), the same outfit churning out processors for Nvidia, Apple, AMD, Intel… [+2856 chars]",2024-09-04T02:29:19Z
Double Debian update: 11.11 and 12.7 arrive at once,"The latest update to Debian ""Bookworm"" arrives at the same time as the last ever update to ""Bullseye,"" and there's trouble ahead for Nvidia legacy users.
The end of August saw two new point upgrades… [+3161 chars]",2024-09-04T11:28:06Z
The tech industry is ready for robot taxis. But are the rest of us willing to go along for the ride?,"Waymo's fully autonomous Jaguar I-PACEBlue Planet Studio/Getty Images; Waymo; Derek French/BI
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Busin… [+7724 chars]",2024-09-04T12:48:22Z
Apple's event will serve as a litmus test for the wider AI industry,"Apple
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Welcome back! Apple is gearing up to annou… [+6981 chars]",2024-09-09T11:59:57Z
